         x            rho             ux             p
3.45500E-01    5.99924E+00    1.38872E-06    4.60894E+02
3.46500E-01    5.99924E+00    1.38872E-06    4.60894E+02
3.47500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.48500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.49500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.50500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.51500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.52500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.53500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.54500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.55500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.56500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.57500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.58500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.59500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.60500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.61500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.62500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.63500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.64500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.65500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.66500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.67500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.68500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.69500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.70500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.71500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.72500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.73500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.74500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.75500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.76500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.77500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.78500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.79500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.80500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.81500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.82500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.83500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.84500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.85500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.86500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.87500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.88500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.89500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.90500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.91500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.92500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.93500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.94500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.95500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.96500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.97500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.98500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
3.99500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.00500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.01500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.02500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.03500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.04500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.05500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.06500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.07500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.08500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.09500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.10500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.11500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.12500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.13500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.14500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.15500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.16500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.17500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.18500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.19500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.20500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.21500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.22500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.23500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.24500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.25500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.26500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.27500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.28500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.29500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.30500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.31500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.32500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.33500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.34500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.35500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.36500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.37500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.38500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.39500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.40500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.41500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.42500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.43500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.44500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.45500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.46500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.47500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.48500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.49500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.50500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.51500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.52500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.53500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.54500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.55500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.56500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.57500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.58500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.59500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.60500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.61500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.62500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.63500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.64500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.65500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.66500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.67500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.68500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.69500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.70500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.71500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.72500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.73500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.74500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.75500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.76500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.77500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.78500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.79500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.80500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.81500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.82500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.83500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.84500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.85500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.86500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.87500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.88500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.89500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.90500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.91500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.92500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.93500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.94500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.95500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.96500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.97500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.98500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
4.99500E-01    1.00000E+00   -1.95974E+01    1.00000E-02
